"","營利事業家數及銷售額－第5次修訂",,單位：家、千元
"項目及地區別","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺南市(改制後)","高雄市(改制後)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣","新北市(改制後)","臺北市","桃園市(改制後)","臺中市(改制後)","臺南市(改制後)","高雄市(改制後)","宜蘭縣","新竹縣","苗栗縣","彰化縣","南投縣","雲林縣","嘉義縣","屏東縣","臺東縣","花蓮縣","澎湖縣","基隆市","新竹市","嘉義市","金門縣","連江縣"
"95年 1月/ <b>總計</b>","181,590","197,663","83,568","146,955","93,222","142,080","24,659","19,374","23,801","62,859","22,242","26,170","18,973","36,117","10,995","18,013","5,559","17,101","21,788","16,623","10,068","881","57,782,201","128,386,510","33,102,348","26,948,512","23,724,954","45,747,375","1,472,669","15,423,112","3,189,782","10,236,742","4,676,897","15,074,263","4,074,590","3,373,045","494,067","714,488","236,458","2,900,782","31,956,977","1,133,387","458,907","34,331"
"95年 2月/ <b>總計</b>","181,513","197,597","83,579","147,070","93,280","142,122","24,665","19,424","23,827","62,912","22,280","26,175","18,991","36,096","10,975","17,993","5,571","17,081","21,758","16,591","10,053","879","526,017,687","1,838,325,461","424,471,535","403,375,763","284,816,198","456,156,903","28,581,153","108,163,659","82,410,144","135,370,121","28,347,087","143,696,135","30,215,320","38,226,908","7,563,586","20,209,090","2,910,945","22,382,291","150,051,887","28,234,555","3,944,224","535,916"
"95年 3月/ <b>總計</b>","181,652","197,537","83,776","147,112","93,323","142,189","24,704","19,501","23,824","62,973","22,224","26,185","19,085","36,000","10,943","17,962","5,482","17,059","21,783","16,608","10,036","875","71,838,539","137,976,561","34,466,793","31,912,184","25,616,353","51,821,466","1,540,817","16,264,017","4,703,414","11,682,244","5,464,723","15,695,677","4,302,098","3,222,938","510,918","706,330","266,403","3,331,497","34,079,049","1,273,544","450,141","33,961"
"95年 4月/ <b>總計</b>","182,277","197,680","84,003","147,498","93,544","142,500","24,734","19,632","23,820","63,051","22,263","26,199","19,119","36,073","10,945","17,935","5,527","17,083","21,834","16,694","9,968","880","592,284,080","1,922,531,941","465,393,174","443,027,743","317,563,751","508,311,977","30,673,644","122,246,188","77,439,981","154,371,398","30,852,162","155,757,720","32,341,514","41,253,691","7,347,111","21,490,009","3,245,937","24,002,405","173,616,632","28,617,754","4,039,539","653,617"
"95年 5月/ <b>總計</b>","182,599","197,704","84,129","147,688","93,629","142,425","24,750","19,708","23,883","63,057","22,262","26,195","19,147","35,967","10,911","17,964","5,553","17,111","21,867","16,715","9,961","880","65,083,966","136,733,762","35,658,870","30,089,730","24,746,586","52,156,300","1,577,930","15,794,142","3,552,294","10,633,123","4,994,947","18,314,503","4,117,679","3,433,766","500,958","732,764","248,379","3,206,184","37,994,885","1,215,805","450,899","36,869"
"95年 6月/ <b>總計</b>","182,950","197,460","84,343","147,692","93,705","142,581","24,821","19,769","23,890","63,083","22,255","26,151","19,165","35,731","10,951","17,947","5,519","17,135","21,866","16,734","9,947","872","601,955,345","1,899,637,459","462,456,197","444,120,045","313,486,564","526,277,993","34,465,558","119,526,948","79,897,293","160,067,140","30,552,003","181,392,311","32,839,052","41,318,664","7,780,162","22,824,136","3,492,723","25,260,564","174,160,278","28,237,298","3,898,406","698,801"
"95年 7月/ <b>總計</b>","183,042","197,091","84,611","147,775","93,826","142,505","24,805","19,852","23,878","63,220","22,280","26,178","19,136","35,704","10,916","17,941","5,520","17,103","21,914","16,711","9,943","867","68,982,740","135,219,847","35,862,702","29,464,806","26,028,015","55,575,980","1,545,517","10,799,897","4,386,351","10,645,593","5,258,240","17,898,597","4,476,232","3,162,994","494,808","733,386","251,744","2,942,407","41,551,490","1,194,621","468,234","34,355"
"95年 8月/ <b>總計</b>","183,282","197,365","84,855","147,945","93,972","142,759","24,866","19,905","23,959","63,326","22,332","26,245","19,147","35,644","10,921","17,966","5,526","17,152","21,933","16,722","9,931","861","612,677,782","2,027,629,004","449,527,248","439,707,122","325,032,749","548,850,396","34,646,205","124,824,558","80,356,125","168,529,714","34,370,471","183,719,258","34,451,588","41,478,864","8,266,078","25,444,160","3,757,770","25,945,368","212,058,266","29,554,588","4,288,896","578,723"
"95年 9月/ <b>總計</b>","183,736","197,375","85,132","148,269","94,246","143,056","24,888","19,960","23,984","63,382","22,427","26,290","19,100","35,036","10,902","17,977","5,549","17,148","21,961","16,725","9,925","858","77,726,323","149,527,300","38,776,570","30,809,680","29,541,224","57,728,871","2,346,023","12,177,783","3,400,962","20,680,529","5,244,737","22,927,022","5,703,908","3,357,083","710,374","696,227","238,325","2,854,836","42,104,271","1,137,489","460,712","37,232"
"95年 10月/ <b>總計</b>","183,983","197,684","85,263","148,592","94,512","143,093","24,930","20,019","24,014","63,486","22,523","26,339","19,153","34,958","10,901","18,014","5,521","17,171","21,952","16,682","9,939","851","605,515,682","2,047,962,919","467,023,547","446,478,367","339,248,298","550,474,524","32,002,717","126,369,178","77,375,650","151,166,773","32,771,442","157,519,154","32,688,112","41,370,705","8,053,047","24,123,100","3,725,778","25,780,690","218,613,390","28,879,227","4,465,062","603,034"
